household_key,DAY,COUPON_UPC,CAMPAIGN
1,421,10000085364,8
1,421,51700010076,8
1,427,54200000033,8
1,597,10000085476,18
1,597,54200029176,18
8,422,53600000078,8
13,396,53700048182,5
13,424,10000085364,8
13,434,53600000078,8
13,447,52370020076,8
13,478,53600050042,11
13,494,53600000082,10
13,512,51600070033,13
13,512,52500060033,11
13,512,54154889076,13
13,543,10000085427,13
13,543,52740022050,13
13,609,10000089277,18
13,609,51800015050,18
13,609,53500035050,18
13,609,54105800093,18
13,636,52800031032,22
13,642,51312010033,22
13,642,53980010082,18
13,647,10000089316,22
13,647,54400021032,22
13,651,51800000050,22
